step_num,indicator,module_family,mean_value,n
4000,num_singular_values,attention,2048.0,32
4000,num_singular_values,mlp,2048.0,32
4000,rows,attention,4096.0,32
4000,rows,mlp,5120.0,32
4000,spectral_norm,attention,4.056595537811518,32
4000,spectral_norm,mlp,7.166131973266602,32
4000,stable_rank,attention,118.42037707694499,32
4000,stable_rank,mlp,103.68602167012901,32
4000,subspace_stability_topk,attention,0.9228853266686201,32
4000,subspace_stability_topk,mlp,0.9425664860755205,32
5000,alpha_tail_frac_0.2,attention,2.396239921973407,32
5000,alpha_tail_frac_0.2,mlp,2.574141234802015,32
5000,alpha_tail_frac_0.3,attention,2.0380756710834493,32
5000,alpha_tail_frac_0.3,mlp,2.409217870731775,32
5000,alpha_tail_frac_0.5,attention,1.576190764206041,32
5000,alpha_tail_frac_0.5,mlp,2.0347004689123906,32
5000,cols,attention,2048.0,32
5000,cols,mlp,5120.0,32
5000,effective_rank,attention,1676.9099410777762,32
5000,effective_rank,mlp,1894.9864588293813,32
5000,frobenius_norm,attention,41.180645818340324,32
5000,frobenius_norm,mlp,62.065987677756425,32
5000,mean_singular_value,attention,0.7971609208926153,32
5000,mean_singular_value,mlp,1.2631317103255242,32
5000,median_eigenvalue,attention,0.6507313414700618,32
5000,median_eigenvalue,mlp,1.4042874200845712,32
5000,mp_edge,attention,257.8852674714402,32
5000,mp_edge,mlp,3.4493600847556944,32
5000,mp_outliers_x1,attention,104.15625,32
5000,mp_outliers_x1,mlp,260.21875,32
5000,mp_outliers_x1.1,attention,82.34375,32
5000,mp_outliers_x1.1,mlp,211.0625,32
5000,mp_outliers_x1.25,attention,57.8125,32
5000,mp_outliers_x1.25,mlp,155.78125,32
5000,nuclear_norm,attention,1632.585565988076,32
5000,nuclear_norm,mlp,2586.8937427466735,32
5000,num_singular_values,attention,2048.0,32
5000,num_singular_values,mlp,2048.0,32
5000,rows,attention,4096.0,32
5000,rows,mlp,5120.0,32
5000,spectral_norm,attention,4.362201232463121,32
5000,spectral_norm,mlp,7.726630441844463,32
5000,stable_rank,attention,120.84488374601531,32
5000,stable_rank,mlp,104.68153966761759,32
5000,subspace_stability_topk,attention,0.9359711408615112,32
5000,subspace_stability_topk,mlp,0.9653307143598795,32
6000,alpha_tail_frac_0.2,attention,2.4340002227449187,32
6000,alpha_tail_frac_0.2,mlp,2.5782663676962647,32
6000,alpha_tail_frac_0.3,attention,2.037871797282109,32
6000,alpha_tail_frac_0.3,mlp,2.4172219463699913,32
6000,alpha_tail_frac_0.5,attention,1.5469291509539222,32
6000,alpha_tail_frac_0.5,mlp,2.034442312955562,32
6000,cols,attention,2048.0,32
6000,cols,mlp,5120.0,32
6000,effective_rank,attention,1676.882633104886,32
6000,effective_rank,mlp,1893.5319753075996,32
6000,frobenius_norm,attention,43.837338274744795,32
6000,frobenius_norm,mlp,66.53477164224535,32
6000,mean_singular_value,attention,0.8447041996301834,32
6000,mean_singular_value,mlp,1.3522920419945876,32
6000,median_eigenvalue,attention,0.6988108684019242,32
6000,median_eigenvalue,mlp,1.584562390482467,32
6000,mp_edge,attention,335.9646443997128,32
6000,mp_edge,mlp,3.8921706364115423,32
6000,mp_outliers_x1,attention,117.71875,32
6000,mp_outliers_x1,mlp,260.0,32
6000,mp_outliers_x1.1,attention,94.9375,32
6000,mp_outliers_x1.1,mlp,210.28125,32
6000,mp_outliers_x1.25,attention,68.6875,32
6000,mp_outliers_x1.25,mlp,155.09375,32
6000,nuclear_norm,attention,1729.9542008426156,32
6000,nuclear_norm,mlp,2769.4941020049155,32
6000,num_singular_values,attention,2048.0,32
6000,num_singular_values,mlp,2048.0,32
6000,rows,attention,4096.0,32
6000,rows,mlp,5120.0,32
6000,spectral_norm,attention,4.602017391473055,32
6000,spectral_norm,mlp,8.195431858301163,32
