step,step_num,layer,module,metric,value,module_family,module_role
16,16,7,mlp.dense_h_to_4h,subspace_stability_topk,0.9997915029525756,MLP,MLP in
16,16,8,attention.dense,subspace_stability_topk,0.999839186668396,Attention,Attention output
16,16,8,attention.query_key_value,subspace_stability_topk,0.9997848272323608,Attention,QKV
16,16,8,mlp.dense_4h_to_h,subspace_stability_topk,0.9998782873153688,MLP,MLP out
16,16,8,mlp.dense_h_to_4h,subspace_stability_topk,0.9997832775115968,MLP,MLP in
16,16,9,attention.dense,subspace_stability_topk,0.9998491406440736,Attention,Attention output
16,16,9,attention.query_key_value,subspace_stability_topk,0.9997578263282776,Attention,QKV
16,16,9,mlp.dense_4h_to_h,subspace_stability_topk,1.0002222061157229,MLP,MLP out
16,16,9,mlp.dense_h_to_4h,subspace_stability_topk,0.9997847080230712,MLP,MLP in
16,16,10,attention.dense,subspace_stability_topk,0.9998375177383424,Attention,Attention output
16,16,10,attention.query_key_value,subspace_stability_topk,0.999776005744934,Attention,QKV
16,16,10,mlp.dense_4h_to_h,subspace_stability_topk,1.0002107620239258,MLP,MLP out
16,16,10,mlp.dense_h_to_4h,subspace_stability_topk,0.9997746348381042,MLP,MLP in
16,16,11,attention.dense,subspace_stability_topk,0.9998176097869872,Attention,Attention output
16,16,11,attention.query_key_value,subspace_stability_topk,0.999784529209137,Attention,QKV
16,16,11,mlp.dense_4h_to_h,subspace_stability_topk,1.0001410245895386,MLP,MLP out
16,16,11,mlp.dense_h_to_4h,subspace_stability_topk,0.9997513294219972,MLP,MLP in
32,32,0,attention.dense,subspace_stability_topk,0.9991344213485718,Attention,Attention output
32,32,0,attention.query_key_value,subspace_stability_topk,0.9997391700744628,Attention,QKV
32,32,0,mlp.dense_4h_to_h,subspace_stability_topk,0.9989583492279052,MLP,MLP out
32,32,0,mlp.dense_h_to_4h,subspace_stability_topk,0.999683439731598,MLP,MLP in
32,32,1,attention.dense,subspace_stability_topk,0.9988963603973388,Attention,Attention output
32,32,1,attention.query_key_value,subspace_stability_topk,0.9997352361679076,Attention,QKV
32,32,1,mlp.dense_4h_to_h,subspace_stability_topk,0.9864519834518432,MLP,MLP out
32,32,1,mlp.dense_h_to_4h,subspace_stability_topk,0.9997214078903198,MLP,MLP in
32,32,2,attention.dense,subspace_stability_topk,0.999703288078308,Attention,Attention output
32,32,2,attention.query_key_value,subspace_stability_topk,0.9997192025184632,Attention,QKV
32,32,2,mlp.dense_4h_to_h,subspace_stability_topk,0.9747477769851683,MLP,MLP out
32,32,2,mlp.dense_h_to_4h,subspace_stability_topk,0.9995596408843994,MLP,MLP in
32,32,3,attention.dense,subspace_stability_topk,0.9989725351333618,Attention,Attention output
32,32,3,attention.query_key_value,subspace_stability_topk,0.999719738960266,Attention,QKV
32,32,3,mlp.dense_4h_to_h,subspace_stability_topk,0.9988558292388916,MLP,MLP out
32,32,3,mlp.dense_h_to_4h,subspace_stability_topk,0.9997000694274902,MLP,MLP in
